id,title,organization,publication_date,url,source_domain,cve,product,severity,summary,collection_date,crawl_job_id
1859,CVE-2026-19426,NVD,2026-08-12 08:17:17.493000,https://nvd.nist.gov/vuln/detail/CVE-2026-19426,nvd.nist.gov,CVE-2026-19426,POS System,high,POS System developed by FitSoft has a Missing Authentication vulnerability. Unauthenticated remote attackers can directly access and operate the system.,2026-08-19 06:21:43,63
1858,CVE-2025-41771,NVD,2026-08-12 08:17:12.130000,https://nvd.nist.gov/vuln/detail/CVE-2025-41771,nvd.nist.gov,CVE-2025-41771,AXC F 1152,medium,"An authenticated attacker with low privileges can access an endpoint in the controller’s web interface that is vulnerable to SQL injection. The vulnerability affects a SQLite database used only for storing notification messages. Therefore, the impact is limited to the system’s notification functionality.",2026-08-19 06:21:43,63
1857,CVE-2025-41770,NVD,2026-08-12 08:17:11.910000,https://nvd.nist.gov/vuln/detail/CVE-2025-41770,nvd.nist.gov,CVE-2025-41770,AXC F 1152,high,An unauthenticated denial-of-service vulnerability in the device's PLCnext Engineer communication interface allow an remote attacker to interrupt access via the client application. Successful exploitation prevents communication until the PLCnext service is manually restarted.,2026-08-19 06:21:43,63
1856,CVE-2025-41769,NVD,2026-08-12 08:17:11.590000,https://nvd.nist.gov/vuln/detail/CVE-2025-41769,nvd.nist.gov,CVE-2025-41769,AXC F 1152,critical,The device's PROFINET service is affected by a buffer overflow vulnerability that exists in the default configuration. An unauthenticated remote attacker could exploit this vulnerability to reboot the device or execute arbitrary code.,2026-08-19 06:21:43,63
1855,CVE-2026-66659,NVD,2026-08-12 06:22:09.420000,https://nvd.nist.gov/vuln/detail/CVE-2026-66659,nvd.nist.gov,CVE-2026-66659,Tablesome Table,critical,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Essekia Tablesome Table allows Blind SQL Injection.

This issue affects Tablesome Table: from n/a through 1.2.9.",2026-08-19 06:21:43,63
1854,CVE-2026-19594,NVD,2026-08-12 06:21:57.223000,https://nvd.nist.gov/vuln/detail/CVE-2026-19594,nvd.nist.gov,CVE-2026-19594,Snowflake Python APIs,high,"Insufficient input sanitization in Snowflake Python API (`snowflake.core`) versions prior to 1.13.0 allowed confused-deputy privilege escalation through two related weaknesses: path traversal (CWE-22) via unencoded `..` identifier path segments, and HTTP parameter pollution (CWE-141) via unencoded `&`/`#`/`=` characters in query string values. An attacker with access to a downstream application built on snowflake.core could exploit the path traversal by supplying `..` as an object name, causing `snowflake.core` to issue REST requests against a parent resource or exploit the parameter pollution by injecting `&`/`#`/`=` into a free-form name field to override constraints on swap, clone, or rename operations — all executed under the application's privileged session. Successful exploitation requires the attacker to control an identifier or object-name string in an application built on snowflake.core that passes it to `snowflake.core` under a higher-privileged Snowflake session (e.g., an EXECUTE AS OWNER stored procedure, Streamlit app, or Native App). The fix is available in Snowflake Python API version 1.13.0, which also addresses several additional security findings. Users must manually upgrade.",2026-08-19 06:21:43,63
1853,CVE-2026-19217,NVD,2026-08-12 06:21:47.283000,https://nvd.nist.gov/vuln/detail/CVE-2026-19217,nvd.nist.gov,CVE-2026-19217,Royal Addons for Elementor,medium,"The Royal Addons for Elementor  WordPress plugin before 1.7.1065 does not validate a widget setting used to build an HTML tag before outputting it, which could allow users with the Contributor role and above to perform Stored Cross-Site Scripting attacks.",2026-08-19 06:21:43,63
1852,CVE-2026-19073,NVD,2026-08-12 06:21:47.157000,https://nvd.nist.gov/vuln/detail/CVE-2026-19073,nvd.nist.gov,CVE-2026-19073,Order Sync with Zendesk for WooCommerce,medium,"The Order Sync with Zendesk for WooCommerce WordPress plugin before 2.2.3 does not perform any capability check on one of its REST API endpoints, and does not verify that the requester owns the account being queried, allowing unauthenticated attackers to retrieve the order history and purchase totals of any customer whose email address they know or can enumerate.",2026-08-19 06:21:43,63
1851,USN-8642-1: c3p0 vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8642-1,ubuntu.com,CVE-2026-55223,,,Several security issues were fixed in c3p0.,2026-08-18 21:14:55,58
1850,USN-8643-1: Linux kernel vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8643-1,ubuntu.com,CVE-2026-53247,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1849,USN-8644-1: Linux kernel vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8644-1,ubuntu.com,CVE-2026-53246,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1848,USN-8645-1: Linux kernel (Oracle) vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8645-1,ubuntu.com,CVE-2026-31657,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1847,USN-8646-1: Linux kernel vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8646-1,ubuntu.com,CVE-2026-53002,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1846,USN-8629-3: Linux kernel (HWE) vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8629-3,ubuntu.com,CVE-2026-53131,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1845,USN-8636-2: Linux kernel (Oracle) vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8636-2,ubuntu.com,CVE-2026-52924,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1844,USN-8630-3: Linux kernel (Oracle) vulnerabilities,Ubuntu,2026-08-18 00:00:00.000000,https://ubuntu.com/security/notices/USN-8630-3,ubuntu.com,CVE-2026-46242,,,Several security issues were fixed in the Linux kernel.,2026-08-18 21:14:55,58
1843,CVE-2026-75093,NVD,2026-08-18 02:17:30.540000,https://nvd.nist.gov/vuln/detail/CVE-2026-75093,nvd.nist.gov,CVE-2026-75093,tract,low,A security vulnerability has been detected in sonos tract up to 0.23.4. This impacts the function Tensor::from_raw_dt_align of the file data/src/tensor.rs of the component ONNX Initializer Loader. Such manipulation leads to incorrect calculation of buffer size. The attack may be launched remotely. The exploit has been disclosed publicly and may be used. The name of the patch is 66b10bda8895f4bfaf8c205361f0125cdf51f99b. It is best practice to apply a patch to resolve this issue.,2026-08-18 20:10:53,57
1842,CVE-2026-75090,NVD,2026-08-18 02:17:30.333000,https://nvd.nist.gov/vuln/detail/CVE-2026-75090,nvd.nist.gov,CVE-2026-75090,Mistral.rs,low,A vulnerability was detected in EricLBuehler Mistral.rs up to 0.8.22. Affected by this issue is the function convert_gguf_to_hf_tokenizer of the file mistralrs-core/src/gguf/gguf_tokenizer.rs of the component GGUF Tokenizer. The manipulation of the argument eos_token_id/bos_token_id/unknown_token_id results in out-of-bounds read. The attack can be executed remotely. The exploit is now public and may be used. Upgrading to version 0.8.23 can resolve this issue. The patch is identified as cd5297e2ea5cb27c790bdcf2f3c2f1064a81d55e. Upgrading the affected component is recommended.,2026-08-18 20:10:53,57
1841,CVE-2026-75089,NVD,2026-08-18 01:16:43.233000,https://nvd.nist.gov/vuln/detail/CVE-2026-75089,nvd.nist.gov,CVE-2026-75089,Complaint Management System,medium,A weakness has been identified in PHPGurukul Complaint Management System 1.0. Affected by this issue is some unknown functionality of the file user/check_availability.php. This manipulation of the argument email causes sql injection. Remote exploitation of the attack is possible. The exploit has been made available to the public and could be used for attacks.,2026-08-18 20:10:53,57
1840,CVE-2026-75088,NVD,2026-08-18 01:16:43.067000,https://nvd.nist.gov/vuln/detail/CVE-2026-75088,nvd.nist.gov,CVE-2026-75088,Hospital Management System,low,A vulnerability was determined in itsourcecode Hospital Management System 1.0. This impacts an unknown function of the file /viewbilling.php. Executing a manipulation of the argument delid can lead to sql injection. The attack can be launched remotely. The exploit has been publicly disclosed and may be utilized.,2026-08-18 20:10:53,57
1839,CVE-2026-75087,NVD,2026-08-18 01:16:42.907000,https://nvd.nist.gov/vuln/detail/CVE-2026-75087,nvd.nist.gov,CVE-2026-75087,Hospital Management System,low,A vulnerability was found in itsourcecode Hospital Management System 1.0. This affects an unknown function of the file /viewdepartment.php. Performing a manipulation of the argument delid results in sql injection. The attack can be initiated remotely. The exploit has been made public and could be used.,2026-08-18 20:10:53,57
1838,CVE-2026-75086,NVD,2026-08-18 01:16:42.673000,https://nvd.nist.gov/vuln/detail/CVE-2026-75086,nvd.nist.gov,CVE-2026-75086,Hospital Management System,low,A vulnerability has been found in itsourcecode Hospital Management System 1.0. The impacted element is an unknown function of the file /viewroom.php. Such manipulation of the argument delid leads to sql injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used.,2026-08-18 20:10:53,57
1837,CVE-2026-75082,NVD,2026-08-18 00:16:53.867000,https://nvd.nist.gov/vuln/detail/CVE-2026-75082,nvd.nist.gov,CVE-2026-75082,Bagisto,low,"A flaw has been found in Webkul Bagisto up to 2.4.4. The affected element is an unknown function of the file /customer/register of the component Customer-Registration Notification Email. This manipulation of the argument first_name/last_name causes basic cross site scripting. It is possible to initiate the attack remotely. The exploit has been published and may be used. The vendor confirms: ""The reported issues were already identified through our internal security assessment process prior to this notification and are being handled through our established internal security and development lifecycle. Some of these items have already been addressed, while the remaining items are planned for resolution in upcoming product releases.""",2026-08-18 20:10:53,57
1836,CVE-2026-75081,NVD,2026-08-18 00:16:53.710000,https://nvd.nist.gov/vuln/detail/CVE-2026-75081,nvd.nist.gov,CVE-2026-75081,Bagisto,low,"A vulnerability was detected in Webkul Bagisto up to 2.4.4. Impacted is an unknown function of the file /customer/account/rma/store. The manipulation of the argument rma_qty/resolution_type/rma_reason_id results in enforcement of behavioral workflow. The attack may be performed from remote. The exploit is now public and may be used. The vendor confirms: ""The reported issues were already identified through our internal security assessment process prior to this notification and are being handled through our established internal security and development lifecycle. Some of these items have already been addressed, while the remaining items are planned for resolution in upcoming product releases.""",2026-08-18 20:10:53,57
1835,CVE-2026-75080,NVD,2026-08-18 00:16:53.543000,https://nvd.nist.gov/vuln/detail/CVE-2026-75080,nvd.nist.gov,CVE-2026-75080,Class and Exam Timetabling System,medium,A security vulnerability has been detected in SourceCodester Class and Exam Timetabling System 1.0. This issue affects some unknown processing of the file /edit_subject1.php. The manipulation of the argument ID leads to sql injection. The attack is possible to be carried out remotely. The exploit has been disclosed publicly and may be used.,2026-08-18 20:10:53,57
1834,CVE-2026-75079,NVD,2026-08-18 00:16:53.380000,https://nvd.nist.gov/vuln/detail/CVE-2026-75079,nvd.nist.gov,CVE-2026-75079,Class and Exam Timetabling System,medium,A weakness has been identified in SourceCodester Class and Exam Timetabling System 1.0. This vulnerability affects unknown code of the file /edit_subject2.php. Executing a manipulation of the argument ID can lead to sql injection. The attack can be executed remotely. The exploit has been made available to the public and could be used for attacks.,2026-08-18 20:10:53,57
1833,CVE-2026-73034,NVD,2026-08-11 20:18:46.470000,https://nvd.nist.gov/vuln/detail/CVE-2026-73034,nvd.nist.gov,CVE-2026-73034,DB-GPT,critical,"DB-GPT v0.8.1 contains an unauthenticated path traversal vulnerability that allows remote attackers to write arbitrary files to any location on the server by injecting directory traversal sequences into the user_id HTTP header of the Python file-upload endpoint. Attackers can send a crafted multipart upload request with a traversal-poisoned user_id header to escape the intended upload directory and write attacker-controlled content to locations such as Python startup hooks, cron directories, or agent scripts, resulting in remote code execution.",2026-08-18 19:51:55,56
1832,CVE-2026-73032,NVD,2026-08-11 20:18:46.320000,https://nvd.nist.gov/vuln/detail/CVE-2026-73032,nvd.nist.gov,CVE-2026-73032,papersgpt-for-zotero,critical,"PapersGPT for Zotero 0.6.1 contains a remote code execution vulnerability that allows attackers to execute arbitrary JavaScript by returning malicious code from an LLM endpoint that is passed unsanitized to window.eval() in views.ts. Attackers can exploit this through prompt injection in PDFs, MITM interception of API requests, or a malicious custom LLM endpoint to execute arbitrary code in Zotero's chrome-privileged context, enabling file read/write, process execution, and access to all Zotero data.",2026-08-18 19:51:55,56
1831,CVE-2026-73031,NVD,2026-08-11 20:18:46.173000,https://nvd.nist.gov/vuln/detail/CVE-2026-73031,nvd.nist.gov,CVE-2026-73031,telegram-search,high,"telegram-search contains a stored cross-site scripting vulnerability that allows remote attackers to execute arbitrary JavaScript in victims' browsers by sending crafted messages containing unsanitized HTML to a shared Telegram group. The highlightKeyword function in MessageList.vue passes raw message content directly to v-html without HTML escaping or sanitization, enabling stored, cross-user, zero-click execution of injected payloads such as image onerror handlers when victims browse or search messages.",2026-08-18 19:51:55,56
1830,CVE-2026-71845,NVD,2026-08-11 20:18:45.800000,https://nvd.nist.gov/vuln/detail/CVE-2026-71845,nvd.nist.gov,CVE-2026-71845,Red Hat Advanced Cluster Management for Kubernetes 2,medium,"A flaw was found in insights-client. The setDefault() function logs the value of every environment variable it processes, including CCX_TOKEN, a bearer credential used in disconnected cluster deployments. When glog verbosity is set to level 2 or higher, the token is written in clear text to the pod log on every startup. An attacker with access to pod logs or centralized logging could obtain the credential, leading to unauthorized access to the CCX API.",2026-08-18 19:51:55,56
1829,CVE-2026-71475,NVD,2026-08-11 20:18:45.673000,https://nvd.nist.gov/vuln/detail/CVE-2026-71475,nvd.nist.gov,CVE-2026-71475,Red Hat Advanced Cluster Management for Kubernetes 2,medium,"A flaw was found in insights-client. A compromised managed cluster, referred to as a 'spoke', can inject unencoded data into the Insights API URL path. This occurs because the ClusterID, which is controlled by the spoke, is used directly in the request path without proper validation or URL encoding. This vulnerability allows a malicious spoke to redirect authenticated requests to unintended API endpoints, potentially leading to information disclosure or unauthorized access.",2026-08-18 19:51:55,56
1828,CVE-2026-71474,NVD,2026-08-11 20:18:45.547000,https://nvd.nist.gov/vuln/detail/CVE-2026-71474,nvd.nist.gov,CVE-2026-71474,Red Hat Advanced Cluster Management for Kubernetes 2,medium,"A flaw was found in insights-client. When the application receives a non-200 response, it logs the request headers, which can include the cloud.openshift.com pull-secret token. A local user with access to pod logs on the hub could read this long-lived credential. This information disclosure could grant unauthorized access to Red Hat cloud services.",2026-08-18 19:51:55,56
1827,CVE-2026-71468,NVD,2026-08-11 20:18:45.410000,https://nvd.nist.gov/vuln/detail/CVE-2026-71468,nvd.nist.gov,CVE-2026-71468,Red Hat Advanced Cluster Management for Kubernetes 2,medium,"A flaw was found in acm-search-v2-api-rhel9. When the `getFederationConfig` function refreshes its cache, it improperly reuses a user's bearer token for all subsequent federated requests until the cache expires. This allows other authenticated users to gain unauthorized access to remote managed hub search results, leading to information disclosure.",2026-08-18 19:51:55,56
1826,CVE-2026-71467,NVD,2026-08-11 20:18:45.260000,https://nvd.nist.gov/vuln/detail/CVE-2026-71467,nvd.nist.gov,CVE-2026-71467,Red Hat Advanced Cluster Management for Kubernetes 2,high,"A flaw was found in search-v2-api. The authentication middleware in the affected component unconditionally skips authentication when a request includes an `Upgrade: websocket` header. An unauthenticated attacker can exploit this by sending a specially crafted HTTP POST request to the `/federated` endpoint with the `Upgrade: websocket` header. This allows the attacker to bypass authentication and access federated search results across all configured remote managed hubs, leading to information disclosure.",2026-08-18 19:51:55,56
1825,CVE-2026-70339,NVD,2026-08-11 20:18:44.243000,https://nvd.nist.gov/vuln/detail/CVE-2026-70339,nvd.nist.gov,CVE-2026-70339,Microsoft Edge (Chromium-based),medium,Access of resource using incompatible type ('type confusion') in Microsoft Edge (Chromium-based) allows an unauthorized attacker to execute code over a network.,2026-08-18 19:51:55,56
1824,CVE-2026-66146,NVD,2026-08-11 20:18:37.837000,https://nvd.nist.gov/vuln/detail/CVE-2026-66146,nvd.nist.gov,CVE-2026-66146,GMS,medium,Multiple Cross-Site Scripting (XSS) vulnerabilities were identified in GMS 9.5.1 (Build 9510.1044) and earlier versions that allow a remote attacker to execute javascript script in a user's browser.,2026-08-18 19:51:55,56
1823,CVE-2026-66145,NVD,2026-08-11 20:18:37.717000,https://nvd.nist.gov/vuln/detail/CVE-2026-66145,nvd.nist.gov,CVE-2026-66145,GMS,critical,An unauthenticated remote code execution vulnerability was identified in GMS 9.5.1 (Build 9510.1044) and earlier versions which allows remote attacker to read sensitive data and perform arbitrary file write via zipslip.,2026-08-18 19:51:55,56
1822,CVE-2026-65655,NVD,2026-08-11 20:18:31.447000,https://nvd.nist.gov/vuln/detail/CVE-2026-65655,nvd.nist.gov,CVE-2026-65655,Temporal UI Server,low,"When OAuth authentication is enabled and browser-facing TLS terminates at a reverse proxy that forwards the callback to Temporal UI Server over HTTP, affected versions derive authentication-cookie Secure attributes from the proxy-to-server connection. Temporal UI Server can therefore issue access-token cookies, and refresh-token cookies when provided by the identity provider, without Secure even though the browser completed login over HTTPS.



A victim who visits attacker-controlled content while a credential remains live may expose that credential only if the attacker can also steer traffic for the UI hostname, prevent the browser's HTTPS connection from succeeding, serve the hostname over HTTP, and read a later same-site plaintext request. A malicious website alone cannot read the cookie, and passive observation of a successful TLS connection is insufficient. Effective HSTS, a blocking HTTPS-only warning, or TLS re-encryption between the proxy and Temporal UI Server prevents the demonstrated disclosure path.



A recovered credential may be replayed within the victim's assigned permissions. Refresh-token replay additionally depends on the identity provider's issuance, expiry, rotation, and reuse-detection behavior.",2026-08-18 19:51:55,56
1821,CVE-2026-48813,NVD,2026-08-11 20:17:43.207000,https://nvd.nist.gov/vuln/detail/CVE-2026-48813,nvd.nist.gov,CVE-2026-48813,flawfinder,high,"Flawfinder is a a static analysis tool for finding vulnerabilities in C/C++ source code. Versions prior to 2.0.20 have an improper input neutralization issue leading to output manipulation, specifically, Terminal/ANSI Escape Sequence Injection and XML Injection. A malicious file whose name contains ANSI escape sequences can end up being included in flawfinder's standard terminal output, with many effects. Untrusted fields (such as filenames, categories, or code context text) were not properly sanitized when generating structured reports. An attacker could exploit this to corrupt CSV formats or inject arbitrary XML attributes into SonarQube outputs via output_sonar(). It impacts those who use flawfinder to evaluate intentionally malicious filenames or file contents. This issue has been fully patched in Version 2.0.20 (released 2026-05-16). There is no configuration-based workaround within older versions of flawfinder. If an immediate upgrade is not possible, users can mitigate the risk by pre-scanning filenames, inspecting raw output, and/or restricting untrusted inputs.",2026-08-18 19:51:55,56
1820,CVE-2026-48804,NVD,2026-08-11 20:17:42.580000,https://nvd.nist.gov/vuln/detail/CVE-2026-48804,nvd.nist.gov,CVE-2026-48804,python-socketio,high,"python-socketio is a Python implementation of the Socket.IO realtime client and server. The python-socketio server stores binary `EVENT` and `ACK` messages in memory while it waits to receive their binary attachments. Once all the attachments are received, these messages are then processed. Prior to version 5.16.4, an attacker can submit a binary message and intentionally omit sending one or more of its attachments to cause the message along with the partial list of received attachments to stay in memory for a long time. Version 5.16.4 takes the following measures to address this issue: Binary packets are only accepted from authenticated clients and, when a client disconnects, the server checks if there is a partial binary message being held for the client and deletes it.",2026-08-18 19:51:55,56
1819,CVE-2026-45618,NVD,2026-08-11 20:17:40.163000,https://nvd.nist.gov/vuln/detail/CVE-2026-45618,nvd.nist.gov,CVE-2026-45618,liquidjs,critical,"LiquidJS is a Shopify/GitHub Pages compatible template engine. Prior to version 10.26.0, it is possible to execute arbitrary code with crafted templates. Version 10.26.0 patches the issue.",2026-08-18 19:51:55,56
1818,CVE-2026-19091,NVD,2026-08-11 20:17:38.797000,https://nvd.nist.gov/vuln/detail/CVE-2026-19091,nvd.nist.gov,CVE-2026-19091,GeoDirectory – WP Business Directory Plugin and Classified Listings Directory,high,"The GeoDirectory – WP Business Directory Plugin and Classified Listings Directory plugin for WordPress is vulnerable to arbitrary file deletion due to insufficient file path validation in the delete_revision function in all versions up to, and including, 2.8.169. This makes it possible for authenticated attackers, with subscriber-level access and above, to delete arbitrary files on the server, which can easily lead to remote code execution when the right file is deleted (such as wp-config.php). By placing post_type=attachment exclusively in the query string to bypass the consistency check, an attacker can convert an auto-draft GeoDirectory listing into a WordPress attachment with attacker-controlled file paths injected into attachment metadata, which the delete_revision handler then dereferences and unlinks without any post-type or path validation.",2026-08-18 19:51:55,56
1817,CVE-2026-18844,NVD,2026-08-11 20:17:37.277000,https://nvd.nist.gov/vuln/detail/CVE-2026-18844,nvd.nist.gov,CVE-2026-18844,Vagus Nerve Stimulator,high,"The firmware of the Pulsetto Vagus Nerve Stimulator accepts several undisclosed commands over its Bluetooth Low Energy (BLE) interface. These commands are sent without authentication or encryption, and are never issued by the companion mobile application, yet are fully processed by the device when it is powered on.",2026-08-18 19:51:55,56
1816,CVE-2026-16230,NVD,2026-08-11 20:17:27.133000,https://nvd.nist.gov/vuln/detail/CVE-2026-16230,nvd.nist.gov,CVE-2026-16230,Formidable Digital Signatures,critical,"The Formidable Digital Signatures plugin for WordPress is vulnerable to file deletion due to insufficient file path validation in the delete_file function in all versions up to, and including, 3.0.6. This makes it possible for unauthenticated attackers to delete files on the server by supplying an attacker-controlled filename in the item_meta[field_id][content] parameter alongside the delete_saved_image flag during the standard entry-creation POST flow on any form that accepts anonymous submissions.",2026-08-18 19:51:55,56
1815,CVE-2026-13457,NVD,2026-08-11 20:17:26.993000,https://nvd.nist.gov/vuln/detail/CVE-2026-13457,nvd.nist.gov,CVE-2026-13457,InstaWP Connect – 1-click WP Staging & Migration,high,"The InstaWP Connect – 1-click WP Staging & Migration plugin for WordPress is vulnerable to Remote Code Execution in all versions up to, and including, 0.1.3.6 via the (top-level script) function. This is due to the plugin stores its encrypted options file as options-{migrate_key}.txt in wp-content/instawpbackups/ without deploying an index.php or .htaccess to prevent directory listing, exposing the 40-character migrate_key on Apache servers with directory indexing enabled, which allows an attacker to derive the AES-256-CBC passphrase via SHA256(migrate_key), decrypt the options file to recover the api_signature. This makes it possible for unauthenticated attackers to get the database access details and api_signature. Exploitation requires the target WordPress site to be hosted on Apache with directory listing enabled (Options +Indexes) for the wp-content/instawpbackups/ directory, and time limited because it can only be exploited during the migration period.",2026-08-18 19:51:55,56
1814,CVE-2024-14042,NVD,2026-08-11 20:17:22.067000,https://nvd.nist.gov/vuln/detail/CVE-2024-14042,nvd.nist.gov,CVE-2024-14042,Open5GS,low,A vulnerability was found in Open5GS up to 2.7.1. This affects the function hss_ogs_diam_s6a_air_cb/hss_ogs_diam_s6a_ulr_cb of the file src/hss/hss-s6a-path.c of the component Diameter S6a Interface. Performing a manipulation of the argument os.len results in stack-based buffer overflow. It is possible to initiate the attack remotely. The exploit has been made public and could be used. Upgrading to version 2.7.2 is able to mitigate this issue. The patch is named e89aa79efe629ae90f59dcdf8847c117d9a7da86. It is suggested to upgrade the affected component.,2026-08-18 19:51:55,56
1813,CVE-2021-47988,NVD,2026-08-11 15:17:22.690000,https://nvd.nist.gov/vuln/detail/CVE-2021-47988,nvd.nist.gov,CVE-2021-47988,,,Rejected reason: This CVE ID has been rejected.,2026-08-18 14:31:11,55
1812,CVE-2020-37265,NVD,2026-08-11 15:17:22.610000,https://nvd.nist.gov/vuln/detail/CVE-2020-37265,nvd.nist.gov,CVE-2020-37265,,,Rejected reason: This CVE ID has been rejected.,2026-08-18 14:31:11,55
